# Add comments like this. W h i t e s p a c e does not matter.
#
# Fields:
# 1. Installation method
#    Pacman/AUR/Suckless/DoomEmacs. Blank defaults to Pacman.
#
# 2. Tags
#    Multiple tags are separated by commas.
#
#    Programs with no tag are included with tagged selections.
#
# 3. Package name
# 4. Description

# Windowing System
                | dwm        | xorg-server                      | "Xorg X server"
                | dwm        | xorg-xinit                       | "X.Org initialisation program"
                | dwm        | xorg-xset                        | "User preference utility for X"
                | dwm        | libxft                           | "FreeType-based font drawing library for X"
                | dwm        | libxinerama                      | "X11 Xinerama extension library"
                | dwm        | fribidi                          | "A Free Implementation of the Unicode Bidirectional Algorithm"
                | dwm        | xf86-video-intel                 | "X.org Intel i810/i830/i915/945G/G965+ video drivers"

# X11
                | dwm        | xorg-xinput                      | "Small commandline tool to configure devices"
                | dwm        | numlockx                         | "Turns on the numlock key in X11."
                | dwm        | xorg-xev                         | "Print contents of X events"
                | dwm        | xdotool                          | "Command-line X11 automation tool"
                | dwm        | unclutter                        | "A small program for hiding the mouse cursor"
                | dwm        | arandr                           | "Provide a simple visual front end for XRandR 1.2."
                | dwm        | xcolor                           | "Lightweight color picker for X11"

Suckless        | dwm        | themamiza/dwm                    | "A dynamic window manager for X"
                | dwm        | xcompmgr                         | "Composite window effect manager for X.org"

# Window Manager / Compositor
                | hyprland   | hyprland                         | "a highly customizable dynamic tiling Wayland compositor"
                | hyprland   | hyprshutdown                     | "A graceful shutdown utility for Hyprland"

# Wayland
                | hyprland   | wlr-randr                        | "Utility to manage outputs of a Wayland compositor"

# Keyboard
                |            | keyd                             | "A key remapping daemon for linux"

# Terminal Emulator
                |            | kitty                            | "A modern, hackable, featureful, OpenGL-based terminal emulator"
                | extra      | alacritty                        | "A cross-platform, GPU-accelerated terminal emulator"
Suckless        | dwm        | themamiza/st                     | "A simple virtual terminal emulator for X."

# Browser
AUR             |            | brave-bin                        | "Web browser that blocks ads and trackers by default (binary release)"

# Clipboard
                | hyprland   | wl-clipboard                     | "Command-line copy/paste utilities for Wayland"
                | dwm        | xclip                            | "Command line interface to the X11 clipboard"

# Lock Screen
                | hyprland   | hyprlock                         | "hyprland’s GPU-accelerated screen locking utility"
#               | extra      | waylock                          | "A simple screenlocker for wayland compositors"
                | dwm        | slock                            | "A simple screen locker for X"

# Wallpaper
                | hyprland   | hyprpaper                        | "a blazing fast wayland wallpaper utility with IPC controls"
                | dwm        | xwallpaper                       | "Wallpaper setting utility for X"

# Bar / Panel
                | hyprland   | waybar                           | "Highly customizable Wayland bar for Sway and Wlroots based compositors"
Suckless        | dwm        | themamiza/dwmblocks              | "N/A"
Suckless        | dwm        | themamiza/dmenu                  | "N/A"

# Screenshot
                | hyprland   | slurp                            | "Select a region in a Wayland compositor"
                | hyprland   | grim                             | "Screenshot utility for Wayland"
                | dwm        | scrot                            | "Simple command-line screenshot utility for X"

# Audio
                |            | pipewire                         | "Low-latency audio/video router and processor"
                |            | pipewire-jack                    | "Low-latency audio/video router and processor - JACK replacement"
                |            | pipewire-pulse                   | "Low-latency audio/video router and processor - PulseAudio replacement"
                |            | wireplumber                      | "Session / policy manager implementation for PipeWire"
                |            | qpwgraph                         | "PipeWire Graph Qt GUI Interface"
                |            | wiremix                          | "A simple TUI audio mixer for PipeWire"


# Image Viewer
                | dwm        | nsxiv                            | "Neo (or New or Not) Simple (or Small or Suckless) X Image Viewer"
                | hyprland   | swayimg                          | "A lightweight image viewer for Wayland display servers"

# Video Player
                |            | mpv                              | "a free, open source, and cross-platform media player"

# Image Manipulation
                |            | imagemagick                      | "An image viewing/manipulation program"
                |            | ffmpegthumbnailer                | "Lightweight video thumbnailer that can be used by file managers"
                | extra      | gimp                             | "GNU Image Manipulation Program"

# Video Manipulation
                | extra      | obs-studio                       | "Free, open source software for live streaming and recording"
                |            | ffmpeg                           | "Complete solution to record, convert and stream audio and video"

# Bluetooth
                |            | bluez                            | "Daemons for the bluetooth protocol stack"
                |            | bluez-utils                      | "Development and debugging utilities for the bluetooth protocol stack"
                |            | blueman                          | "GTK+ Bluetooth Manager"

# Network
                |            | network-manager-applet           | "Applet for managing network connections"
                |            | openssh                          | "SSH protocol implementation for remote login, command execution and file transfer"
                | extra      | sshpass                          | "Fool ssh into accepting an interactive password non-interactively"
                | extra      | proxychains-ng                   | "A hook preloader that allows to redirect TCP traffic of existing dynamically linked programs through one or more SOCKS or HTTP proxies"
AUR             | extra      | v2rayn-bin                       | "A GUI client for Windows and Linux, support Xray core and others"

# File Manager
                |            | yazi                             | "Blazing fast terminal file manager written in Rust, based on async I/O"
                | extra      | lf                               | "A terminal file manager inspired by ranger"
                | extra      | thunar                           | "Modern, fast and easy-to-use file manager for Xfce"
                | extra      | thunar-volman                    | "Automatic management of removable drives and media for Thunar"
                | extra      | tumbler                          | "Thumbnail service implementing the thumbnail management D-Bus specification"
                | extra      | gvfs                             | "Virtual filesystem implementation for GIO"
                | extra      | gvfs-mtp                         | "Virtual filesystem implementation for GIO - MTP backend (Android, media player)"

# Notification
                |            | libnotify                        | "Library for sending desktop notifications"
                |            | dunst                            | "Customizable and lightweight notification-daemon"

# Calculator
                |            | bc                               | "An arbitrary precision calculator language"
                | extra      | qalculate-gtk                    | "GTK frontend for libqalculate"

# PDF
                |            | zathura                          | "Minimalistic document viewer"
                |            | zathura-pdf-mupdf                | "PDF support for Zathura (MuPDF backend) (Supports PDF, ePub, and OpenXPS)"
                |            | tesseract-data-eng               | "Tesseract OCR data (eng)"

# Shell
                |            | base-devel                       | "Basic tools to build Arch Linux packages"
                |            | moreutils                        | "A growing collection of the unix tools that nobody thought to write thirty years ago"
                |            | dash                             | "POSIX compliant shell that aims to be as small as possible"
                |            | zsh                              | "A very advanced and programmable command interpreter (shell) for UNIX"
                |            | zsh-autosuggestions              | "Fish-like autosuggestions for zsh"
AUR             |            | zsh-fast-syntax-highlighting-git | "Optimized and extended zsh-syntax-highlighting"
                | dev,bash   | bash-completion                  | "Programmable completion for the bash shell"
                | dev,bash   | bash-language-server             | "Bash language server implementation based on Tree Sitter and its grammar for Bash"
                | dev,bash   | shellcheck                       | "Shell script analysis tool"

# Archive Management
                |            | 7zip                             | "File archiver for extremely high compression"
                |            | unrar-free                       | "Free utility to extract files from RAR archives"

# Misc.
                |            | git                              | "the fast distributed version control system"
                |            | fzf                              | "Command-line fuzzy finder"
                |            | pass                             | "Stores, retrieves, generates, and synchronizes passwords securely"
                |            | tmux                             | "Terminal multiplexer"
                |            | brightnessctl                    | "Lightweight brightness control tool"
                |            | man-db                           | "A utility for reading man pages"
                |            | man-pages                        | "Linux man pages"
                |            | htop                             | "Interactive process viewer"
                | extra      | btop                             | "A monitor of system resources, bpytop ported to C++"
                |            | rsync                            | "A fast and versatile file copying tool for remote and local files"

# Extras
                | extra      | reflector                        | "A Python 3 module and script to retrieve and filter the latest Pacman mirror list."
                | extra      | bat                              | "Cat clone with syntax highlighting and git integration"
                | extra      | eza                              | "A modern replacement for ls (community fork of exa)"
                | extra      | fd                               | "Simple, fast and user-friendly alternative to find"
                | extra      | ripgrep                          | "A search tool that combines the usability of ag with the raw speed of grep"
                | extra      | yt-dlp                           | "A youtube-dl fork with additional features and fixes"
                | extra      | inxi                             | "Full featured CLI system information tool"
                | extra      | pacman-contrib                   | "Contributed scripts and tools for pacman systems"
                | extra      | pkgfile                          | "A tool to search for files in official repository packages"
AUR             | extra      | c-lolcat                         | "High-performance implementation of lolcat"

# Filesystem
                |            | dosfstools                       | "DOS filesystem utilities"
                |            | ntfs-3g                          | "NTFS FUSE driver"
                |            | ntfsprogs                        | "NTFS userspace utilities"
AUR             | extra      | simple-mtpfs                     | "A FUSE filesystem that supports reading/writing from MTP devices"

# Virtual Machine
                | virt       | qemu-full                        | "A full QEMU setup"
                | virt       | libvirt                          | "API for controlling virtualization engines (openvz,kvm,qemu,virtualbox,xen,etc)"
                | virt       | dnsmasq                          | "Lightweight, easy to configure DNS forwarder and DHCP server"
                | virt       | iptables-nft                     | "N/A"
                | virt       | openbsd-netcat                   | "TCP/IP swiss army knife. OpenBSD variant."
                | virt       | virt-manager                     | "Desktop user interface for managing virtual machines"


# Font
                |            | ttc-iosevka                      | "Typeface family designed for coding, terminal use and technical documents"
                |            | ttf-dejavu                       | "Font family based on the Bitstream Vera Fonts with a wider range of characters"
                |            | ttf-iosevka-nerd                 | "Patched font Iosevka from nerd fonts library"
                |            | ttf-firacode-nerd                | "Patched font Fira (Fura) Code from nerd fonts library"
                |            | ttf-jetbrains-mono-nerd          | "Patched font JetBrains Mono from nerd fonts library"
                |            | ttf-ubuntu-font-family           | "Ubuntu font family"
                |            | noto-fonts-emoji                 | "Google Noto Color Emoji font"
                |            | ttf-cascadia-code-nerd           | "Patched font Cascadia Code (Caskaydia) from nerd fonts library"
